epoch_current,epoch_future,delta_t_days,delta_t_hours,a,e,i_rad,i_deg,omega_rad,OMEGA_rad,OMEGA_deg,M_rad,M_deg,X_curr,Y_curr,Z_curr,VX_curr,VY_curr,VZ_curr,bstar,mean_motion,period_min,sin_i,cos_i,sin_OMEGA,cos_OMEGA,X_pred,Y_pred,Z_pred,VX_pred,VY_pred,VZ_pred,e_x,e_y,e_z,e_vx,e_vy,e_vz
2005-12-11 11:58:22.627200,2005-12-15 21:12:08.465184,4.38455831,105.22939944000001,12271.19020259111,0.0043579,1.9167572364544647,109.8221,1.8679508492516952,2.316791936999321,132.7424,4.424486448292713,253.5044,-8336.166915570124,9025.98820916252,10.494325900196145,1.4371984562590385,1.2887958755588809,5.354873591015958,0.0001,0.0004644498814074,225.47051751270843,0.9407500417327824,-0.3391008094649264,0.734412542515935,-0.6787033353353141,-8569.03897291237,8803.848495693208,9.965937240185212,1.4030766217251607,1.3262867665904952,5.355249635243403,-3016.3866677826018,2073.7139998708353,7799.804268703381,-1.6185659867797784,0.12283514239540633,0.3638040809602996
2005-12-11 11:58:22.627200,2005-12-16 19:45:05.441760,5.32410665,127.7785596,12271.19020259111,0.0043579,1.9167572364544647,109.8221,1.8679508492516952,2.316791936999321,132.7424,4.424486448292713,253.5044,-8336.166915570124,9025.98820916252,10.494325900196145,1.4371984562590385,1.2887958755588809,5.354873591015958,0.0001,0.0004644498814074,225.47051751270843,0.9407500417327824,-0.3391008094649264,0.734412542515935,-0.6787033353353141,-8618.234614565887,8755.46908356177,10.093130463361831,1.3956727162413465,1.3341006814611187,5.3553230403165,-871.2519037477214,1506.9156306860016,4291.243787200497,-1.0315622990851878,0.23489221527748996,0.648117542805905
2005-12-11 11:58:22.627200,2005-12-17 18:18:02.378592,6.26365453,150.32770872,12271.19020259111,0.0043579,1.9167572364544647,109.8221,1.8679508492516952,2.316791936999321,132.7424,4.424486448292713,253.5044,-8336.166915570124,9025.98820916252,10.494325900196145,1.4371984562590385,1.2887958755588809,5.354873591015958,0.0001,0.0004644498814074,225.47051751270843,0.9407500417327824,-0.3391008094649264,0.734412542515935,-0.6787033353353141,-8667.130872051159,8706.815374380272,10.273143167820308,1.388233351015823,1.341855868421099,5.355407513529723,-29.320276279005327,765.5091516345004,295.27483112243976,-0.3975950384877651,0.29200000315993646,0.8315880772526844
2005-12-11 11:58:22.627200,2005-12-17 22:03:31.876416,6.42024594,154.08590256,12271.19020259111,0.0043579,1.9167572364544647,109.8221,1.8679508492516952,2.316791936999321,132.7424,4.424486448292713,253.5044,-8336.166915570124,9025.98820916252,10.494325900196145,1.4371984562590385,1.2887958755588809,5.354873591015958,0.0001,0.0004644498814074,225.47051751270843,0.9407500417327824,-0.3391008094649264,0.734412542515935,-0.6787033353353141,-8675.247121435395,8698.687530813106,10.29130592904312,1.3869842626462443,1.3431403332739216,5.355423486326087,-5898.217272849843,3994.2338608995406,9703.299907231874,-2.507400326935061,-0.22541175730180468,-0.6191936254905701
2005-12-12 21:47:48.064416,2005-12-13 12:49:46.043616,0.6263655,15.032772000000001,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8445.266903724587,8923.360884343903,10.020116919716656,1.421252334546569,1.306283636373454,5.35511805664919,-11234.36430858942,-4081.038967575801,-11541.68241741643,2.8386543048339794,-0.5541833969239396,-1.5314181311225925
2005-12-12 21:47:48.064416,2005-12-13 20:20:45.028896,0.9395482,22.5491568,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8461.920908417023,8907.487039570935,9.964625607382459,1.4187931314063165,1.308953993450962,5.355147668619636,-1357.4892477562053,1668.9715892573304,5365.6976079004235,-1.1937951289322544,0.21007536234591992,0.5824712918976501
2005-12-12 21:47:48.064416,2005-12-14 18:53:41.971776,1.87909615,45.0983076,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8511.709180785401,8859.717052610846,9.979700152514397,1.411334691254233,1.3167670030212888,5.3552761633797195,-126.32557786854863,961.793899849614,1463.6100915624297,-0.5716728522914238,0.2822911731285558,0.791511388958585
2005-12-12 21:47:48.064416,2005-12-15 21:12:08.465184,2.97523612,71.40566688,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8569.03897291237,8803.848495693208,9.965937240185212,1.4030766217251607,1.3262867665904952,5.355249635243403,-3016.3866677826018,2073.7139998708353,7799.804268703381,-1.6185659867797784,0.12283514239540633,0.3638040809602996
2005-12-12 21:47:48.064416,2005-12-16 19:45:05.441760,3.91478446,93.95482704,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8618.234614565887,8755.46908356177,10.093130463361831,1.3956727162413465,1.3341006814611187,5.3553230403165,-871.2519037477214,1506.9156306860016,4291.243787200497,-1.0315622990851878,0.23489221527748996,0.648117542805905
2005-12-12 21:47:48.064416,2005-12-17 18:18:02.378592,4.85433234,116.50397616000001,12271.190804624508,0.0043608,1.9167293111864323,109.8205,1.8620813069772384,2.325234094591217,133.2261,4.430343773262406,253.84,-8411.96853620017,8954.989223495288,10.120197934513726,1.4261050123217323,1.3009037978927314,5.355054370532575,0.0001,0.0004644498472281,225.47053410532672,0.9407595108469672,-0.3390745386356442,0.7286567194155706,-0.6848791026528246,-8667.130872051159,8706.815374380272,10.273143167820308,1.388233351015823,1.341855868421099,5.355407513529723,-29.320276279005327,765.5091516345004,295.27483112243976,-0.3975950384877651,0.29200000315993646,0.8315880772526844
