epoch_datetime,mjd,seconds_of_day,X,Y,Z,direction_flag,VX,VY,VZ
2005-11-30 02:50:00.000000,53704,10200.0,-4080.874339,-5153.864356,10291.492202,0,-5.531953580000001,-0.403362966,-2.389571225
2005-11-30 02:55:00.000000,53704,10500.0,-5697.44701,-5189.454051,9475.807096999999,0,-5.223826025,0.164213732,-3.039373302
2005-11-30 03:00:00.000000,53704,10800.0,-7202.722865000001,-5057.287457,8473.871145,0,-4.791333606,0.7123017650000001,-3.629187731
2005-11-30 03:05:00.000000,53704,11100.0,-8560.770489,-4765.60645,7305.46507,0,-4.244172067,1.2250951190000001,-4.147345946000001
2005-11-30 03:10:00.000010,53704,11400.00001,-9739.011412,-4327.226294,5993.653408,0,-3.594950265,1.687983164,-4.583662886
2005-11-30 03:15:00.000000,53704,11700.0,-10709.046537,-3759.113814,4564.3066929999995,0,-2.858860531,2.0879645129999997,-4.929649083
2005-11-30 03:20:00.000000,53704,12000.0,-11447.372573,-3081.848833,3045.565974,0,-2.053276914,2.414009369,-5.178682162
2005-11-30 03:25:00.000000,53704,12300.0,-11935.968694,-2318.98607,1467.262578,0,-1.1972941209999999,2.657359062,-5.326133076
2005-11-30 03:30:00.000000,53704,12600.0,-12162.737858999999,-1496.337754,-139.69280300000003,0,-0.311222331,2.811753815,-5.36944391
2005-11-30 03:35:00.000000,53704,12900.0,-12121.792049,-641.199473,-1743.93691,0,0.5839452300000001,2.873582624,-5.308156063999999
2005-11-30 03:40:00.000000,53704,13200.0,-11813.575888,218.456856,-3314.281821,0,1.467074402,2.8419523890000002,-5.143889683
2005-11-30 03:45:00.000000,53704,13500.0,-11244.828316,1054.798645,-4820.329707000001,0,2.317424946,2.718676636,-4.880277206
2005-11-30 03:50:00.000000,53704,13800.0,-10428.386863,1840.933229,-6233.0612869999995,0,3.11516247,2.508187088,-4.522855321
2005-11-30 03:55:00.000010,53704,14100.00001,-9382.843539000001,2551.671046,-7525.386299,0,3.841833674,2.217373836,-4.07892073
2005-11-30 04:00:00.000000,53704,14400.0,-8132.065119,3164.2311099999997,-8672.646047,0,4.480793414,1.855361905,-3.5573560200000003
2005-11-30 04:05:00.000000,53704,14700.0,-6704.593654,3658.871074,-9653.060068,0,5.017574978,1.43323357,-2.9684323399999997
2005-11-30 04:10:00.000000,53704,15000.0,-5132.945149,4019.427094,-10448.110934,0,5.440197956,0.963706485,-2.323595376
2005-11-30 04:15:00.000000,53704,15300.0,-3452.825651,4233.7517960000005,-11042.863073999999,0,5.7394107089999995,0.46077782899999997,-1.635240327
2005-11-30 04:20:00.000000,53704,15600.0,-1702.284534,4294.041608,-11426.213033,0,5.908866539,-0.060655755,-0.916480537
2005-11-30 04:25:00.000000,53704,15900.0,79.17517,4197.047604,-11591.069817,0,5.9452340690000005,-0.585193259,-0.180913301
2005-11-30 04:30:00.000000,53704,16200.0,1851.509855,3944.166617,-11534.464889,0,5.848243242,-1.097331046,0.557614668
2005-11-30 04:35:00.000000,53704,16500.0,3575.052782,3541.411818,-11257.591954,0,5.620668651,-1.581863456,1.285240501
2005-11-30 04:40:00.000010,53704,16800.00001,5211.417336,2999.264204,-10765.777122,0,5.268251957,-2.0242748919999998,1.988315869
2005-11-30 04:45:00.000000,53704,17100.0,6724.368112,2332.408637,-10068.380391,0,4.799565338000001,-2.411116259,2.653633992
2005-11-30 04:50:00.000000,53704,17400.0,8080.642449,1559.360173,-9178.629724999999,0,4.225818041,-2.7303587,3.268651722
2005-11-30 04:55:00.000000,53704,17700.0,9250.705683,701.988561,-8113.389432,0,3.560608384,-2.971717627,3.821705267
2005-11-30 05:00:00.000000,53704,18000.0,10209.424143999999,-215.049133,-6892.865005,0,2.819623881,-3.126939923,4.302217574
2005-11-30 05:05:00.000000,53704,18300.0,10936.640833000001,-1164.955627,-5540.247334,0,2.02029295,-3.190047066,4.700894691
2005-11-30 05:10:00.000000,53704,18600.0,11417.639897,-2119.505955,-4081.300083,0,1.181392791,-3.157527038,5.009907648
2005-11-30 05:15:00.000000,53704,18900.0,11643.487642,-3049.809033,-2543.895184,0,0.322619506,-3.0284681940000002,5.2230556880000005
2005-11-30 05:20:00.000000,53704,19200.0,11611.23987,-3927.0999079999997,-957.502743,0,-0.5358716729999999,-2.8046290949999997,5.335906232999999
2005-11-30 05:25:00.000010,53704,19500.00001,11324.007973,-4723.54274,647.3569699999999,0,-1.3739465130000001,-2.490439506,5.34590682
2005-11-30 05:30:00.000000,53704,19800.0,10790.879325,-5413.023338999999,2239.6903110000003,0,-2.171981034,-2.092929397,5.252464341
2005-11-30 05:35:00.000000,53704,20100.0,10026.691083,-5971.909435,3788.62539,0,-2.911347299,-1.621584836,5.056987406
2005-11-30 05:40:00.000000,53704,20400.0,9051.660464999999,-6379.756872999999,5264.013954,0,-3.574882123,-1.088132061,4.762888506
2005-11-30 05:45:00.000000,53704,20700.0,7890.878718999999,-6619.940716,6637.027602,0,-4.147324823,-0.506253627,4.375543924
2005-11-30 05:50:00.000000,53704,21000.0,6573.6800920000005,-6680.191769,7880.735541,0,-4.615710607,0.10875705100000001,3.9022106749999996
2005-11-30 05:55:00.000000,53704,21300.0,5132.901003,-6553.021264999999,8970.651032,0,-4.96970724,0.740394142,3.351901092
2005-11-30 06:00:00.000000,53704,21600.0,3604.0481019999997,-6236.019386,9885.23408,0,-5.201884148,1.371380189,2.7352169359999996
2005-11-30 06:05:00.000000,53704,21900.0,2024.396859,-5732.016711,10606.338675,0,-5.307905129,1.984136946,2.064146243
2005-11-30 06:10:00.000010,53704,22200.00001,432.04464,-5049.101583,11119.594014,0,-5.2866382839999995,2.561272777,1.35182719
2005-11-30 06:15:00.000000,53704,22500.0,-1135.056285,-4200.490527,11414.710573999999,0,-5.140179369,3.086072509,0.612284133
2005-11-30 06:20:00.000000,53704,22800.0,-2640.059567,-3204.253146,11485.703546,0,-4.873787466,3.542975419,-0.139858401
2005-11-30 06:25:00.000000,53704,23100.0,-4048.153309,-2082.897149,11331.027906,0,-4.4957343629999995,3.918027281,-0.88967768
2005-11-30 06:30:00.000000,53704,23400.0,-5327.4308949999995,-862.823382,10953.621314,0,-4.017071338,4.199292839,-1.622264235
2005-11-30 06:35:00.000000,53704,23700.0,-6449.680182,426.335328,10360.852995,0,-3.451319333,4.377215783,-2.323035928
2005-11-30 06:40:00.000000,53704,24000.0,-7391.069275999999,1752.473963,9564.378934,0,-2.814090858,4.44491454,-2.978047272
2005-11-30 06:45:00.000000,53704,24300.0,-8132.709924,3081.852938,8579.905924,0,-2.122654246,4.398403891,-3.5742864290000003
2005-11-30 06:50:00.000000,53704,24600.0,-8661.083106,4379.990082,7426.869317,0,-1.395452903,4.236734577999999,-4.099952320000001
2005-11-30 06:55:00.000010,53704,24900.00001,-8968.315421,5612.581498,6128.031542999999,0,-0.6515939049999999,3.962045628,-4.544704497
2005-11-30 07:00:00.000000,53704,25200.0,-9052.2994,6746.424695000001,4709.010622000001,0,0.089678412,3.5795270230000003,-4.899878951
