epoch_datetime,X_km,Y_km,Z_km
2023-01-01 06:15:00,1978.1415319999999,10075.001013000001,-6627.832759
2023-01-01 06:20:00,2670.555179,8954.390542,-7878.307036
2023-01-01 06:25:00,3258.4752230000004,7634.438588000001,-8974.177952
2023-01-01 06:30:00,3722.648483,6145.518731,-9894.088602
2023-01-01 06:35:00,4047.635881,4521.972656000001,-10620.206139
2023-01-01 06:40:00,4222.257079,2801.246775,-11138.564182
2023-01-01 06:45:00,4239.909226,1022.957233,-11439.321527
2023-01-01 06:50:00,4098.752419,-772.090617,-11516.933756999999
2023-01-01 06:55:00,3801.7585520000002,-2542.901958,-11370.236507
2023-01-01 07:00:00,3356.624139,-4249.285688,-11002.44103
2023-01-01 07:05:00,2775.551328,-5852.816421,-10421.044351
2023-01-01 07:10:00,2074.904653,-7317.742235000001,-9637.657699
2023-01-01 07:15:00,1274.754089,-8611.817073,-8667.758159
2023-01-01 07:20:00,398.317637,-9707.038992,-7530.369582
2023-01-01 07:25:00,-528.681015,-10580.278035,-6247.679783
2023-01-01 07:30:00,-1478.722291,-11213.780329,-4844.601952
2023-01-01 07:35:00,-2423.249022,-11595.538117,-3348.289009
2023-01-01 07:40:00,-3333.453259,-11719.518696000001,-1787.610314
2023-01-01 07:45:00,-4181.071095,-11585.748681,-192.600677
2023-01-01 07:50:00,-4939.164992999999,-11200.253498,1406.108068
2023-01-01 07:55:00,-5582.873610000001,-10574.855442,2977.8625150000003
2023-01-01 08:00:00,-6090.1101419999995,-9726.836956000001,4492.559858
2023-01-01 08:05:00,-6442.191715,-8678.478857999999,5921.206802
2023-01-01 08:10:00,-6624.3842,-7456.485911000001,7236.455763
2023-01-01 08:15:00,-6626.349022,-6091.314418,8413.10964
2023-01-01 08:20:00,-6442.480865,-4616.418319,9428.587136
2023-01-01 08:25:00,-6072.127711,-3067.431653,10263.341514
2023-01-01 08:30:00,-5519.6871550000005,-1481.3062009999999,10901.226376
2023-01-01 08:35:00,-4794.575562,104.576289,11329.802856
2023-01-01 08:40:00,-3911.0691779999997,1653.297577,11540.583249
2023-01-01 08:45:00,-2888.018929,3129.28237,11529.20672
2023-01-01 08:50:00,-1748.44326,4499.144155,11295.543308
2023-01-01 08:55:00,-519.0060609999999,5732.478211000001,10843.723009
2023-01-01 09:00:00,770.61046,6802.583178999999,10182.087412
2023-01-01 09:05:00,2088.425227,7687.093424,9323.062291999999
2023-01-01 09:10:00,3400.9544769999998,8368.505728,8282.950632
2023-01-01 09:15:00,4674.066253999999,8834.585547,7081.646955
2023-01-01 09:20:00,5873.872097,9078.640325999999,5742.275495
2023-01-01 09:25:00,6967.6325209999995,9099.650190999999,4290.756729000001
2023-01-01 09:30:00,7924.651091,8902.249892999998,2755.3090610000004
2023-01-01 09:35:00,8717.130953,8496.560029999999,1165.894765
2023-01-01 09:40:00,9320.967761,7897.870201999999,-446.378446
2023-01-01 09:45:00,9716.454044,7126.18165,-2049.886974
2023-01-01 09:50:00,9888.872325999999,6205.621776999999,-3613.13718
2023-01-01 09:55:00,9828.957643,5163.747530000001,-5105.411811
2023-01-01 10:00:00,9533.214332,4030.758545,-6497.401026
2023-01-01 10:05:00,9004.076833000001,2838.644072,-7761.802479
2023-01-01 10:10:00,8249.909548,1620.28979,-8873.875960000001
2023-01-01 10:15:00,7284.846132000001,408.571615,-9811.939823
2023-01-01 10:20:00,6128.473771,-764.536575,-10557.798486
2023-01-01 10:25:00,4805.372566999999,-1868.815607,-11097.0927
2023-01-01 10:30:00,3344.52417,-2876.590479,-11419.566625
2023-01-01 10:35:00,1778.6069850000001,-3763.4357459999997,-11519.248115
2023-01-01 10:40:00,143.19782,-4508.779239,-11394.540717
2023-01-01 10:45:00,-1524.098368,-5096.389951,-11048.227805999999
2023-01-01 10:50:00,-3184.5678080000002,-5514.73965,-10487.391001
2023-01-01 10:55:00,-4799.332928999999,-5757.231394,-9723.246422
2023-01-01 11:00:00,-6330.299638,-5822.291801,-8770.903663000001
2023-01-01 11:05:00,-7741.083833,-5713.327372000001,-7649.053408
2023-01-01 11:10:00,-8997.894948000001,-5438.548543999999,-6379.590606
2023-01-01 11:15:00,-10070.355583,-5010.668317,-4987.181051
2023-01-01 11:20:00,-10932.237977,-4446.485292,-3498.7800129999996
2023-01-01 11:25:00,-11562.100209,-3766.363625,-1943.112259
2023-01-01 11:30:00,-11943.807531,-2993.624799,-350.123338
2023-01-01 11:35:00,-12066.927088999999,-2153.8680679999998,1249.587618
2023-01-01 11:40:00,-11926.987447000001,-1274.237982,2825.34317
2023-01-01 11:45:00,-11525.597629,-382.658412,4346.960585
2023-01-01 11:50:00,-10870.423795,492.946994,5785.312553999999
2023-01-01 11:55:00,-9975.024937999999,1325.428001,7112.866108
2023-01-01 12:00:00,-8858.552142,2089.155252,8304.190884
2023-01-01 12:05:00,-7545.318774,2760.723528,9336.428702
2023-01-01 12:10:00,-6064.25152,3319.593656,10189.717216000001
2023-01-01 12:15:00,-4448.234393,3748.657476,10847.561205
2023-01-01 12:20:00,-2733.3597990000003,4034.712067,11297.145727
2023-01-01 12:25:00,-958.102513,4168.831397,11529.586096
2023-01-01 12:30:00,837.566088,4146.625725,11540.110294
2023-01-01 12:35:00,2613.104907,3968.381396,11328.170062000001
2023-01-01 12:40:00,4328.351406000001,3639.076063,10897.477468000001
2023-01-01 12:45:00,5944.470503,3168.267,10255.964381
2023-01-01 12:50:00,7424.882419,2569.8529679999997,9415.663046
2023-01-01 12:55:00,8736.147127,1861.713184,8392.50706
2023-01-01 13:00:00,9848.782877,1065.230241,7206.053387
2023-01-01 13:05:00,10737.996509999999,204.70732800000002,5879.127785000001
2023-01-01 13:10:00,11384.304419,-693.306377,4437.398028
2023-01-01 13:15:00,11774.024906999999,-1600.764839,2908.881511
2023-01-01 13:20:00,11899.625558,-2488.9284079999998,1323.396133
2023-01-01 13:25:00,11759.913031,-3329.19817,-288.034435
2023-01-01 13:30:00,11360.057259,-4093.956577,-1893.807981
2023-01-01 13:35:00,10711.447318,-4757.388599999999,-3462.388783
2023-01-01 13:40:00,9831.381878,-5296.257803,-4962.954739
2023-01-01 13:45:00,8742.602814,-5690.613008,-6366.030591
