,PML,mean_true_error,mean_residual_error,improvement
e_x,86.78620115749234,6640.732035441568,5763.239062608354,13.213798842507657
e_y,85.70473529874847,5089.5334901466995,4361.971205671384,14.295264701251526
e_z,94.60122075718192,5160.936643829153,4882.309067567112,5.39877924281808
e_vx,90.25669579664527,1.864094655529578,1.6824702426028537,9.743304203354725
e_vy,67.92423750298875,3.876398117190825,2.63301386368208,32.075762497011254
e_vz,80.61967858266708,3.1058769467643423,2.503948011654567,19.380321417332922
